AÑO,CENTRO,DESCRIPCION CENTRO,SECCION,DESCRIPCION SECCION,PROGRAMA,DESCRIPCION PROGRAMA,CAPITULO,DESCRIPCION CAPITULO,ECONOMICO,DESCRIPCION ECONOMICO,IMPORTE
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,10000,RETRIBUCIONES BÁSICAS,1735155
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,11000,RETRIBUCIONES BÁSICAS,1058966
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,11001,RETRIBUCIONES COMPLEMENTARIAS,2209441
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,11002,OTRAS REMUNERACIONES,598
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,12000,SUELDOS DEL GRUPO A1,171230
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,12001,SUELDOS DEL GRUPO A2,28660
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,12003,SUELDOS DEL GRUPO C1,89789
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,12004,SUELDOS DEL GRUPO C2,69195
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,12006,TRIENIOS,99989
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,12100,COMPLEMENTO DE DESTINO,243862
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,12101,COMPLEMENTO ESPECÍFICO,636639
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,12103,OTROS COMPLEMENTOS,35711
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,15000,PRODUCTIVIDAD,264600
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,1,GASTOS DE PERSONAL,16000,SEGURIDAD SOCIAL,1443541
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21200,REP.MANT. Y CONSERV. EDIFICIOS Y OTRAS CONSTRUC.,34902
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21300,"REP.MANT.Y CONSERV. MAQUINARIA, INSTAL. Y UTILLAJE",12224
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,12000
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",11600
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,4000
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22700,LIMPIEZA Y ASEO,127216
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22701,SEGURIDAD,5070
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91101,GRUPOS POLÍTICOS MUNICIPALES,4,TRANSFERENCIAS CORRIENTES,48100,DOTACIÓN GRUPOS POLÍTICOS MUNICIPALES,618888
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,10000,RETRIBUCIONES BÁSICAS,97908
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,11000,RETRIBUCIONES BÁSICAS,35108
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,11001,RETRIBUCIONES COMPLEMENTARIAS,113154
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,12004,SUELDOS DEL GRUPO C2,28149
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,12006,TRIENIOS,5325
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,12100,COMPLEMENTO DE DESTINO,15953
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,12101,COMPLEMENTO ESPECÍFICO,40670
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,12103,OTROS COMPLEMENTOS,3359
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,15000,PRODUCTIVIDAD,20063
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,16000,SEGURIDAD SOCIAL,71758
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,91216,PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,5450
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,10100,RETRIBUCIONES BÁSICAS,95720
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,12000,SUELDOS DEL GRUPO A1,73385
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,12001,SUELDOS DEL GRUPO A2,44031
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,12003,SUELDOS DEL GRUPO C1,59310
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,12004,SUELDOS DEL GRUPO C2,590130
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,12005,SUELDOS DEL GRUPO E,69111
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,12006,TRIENIOS,146227
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,12100,COMPLEMENTO DE DESTINO,507270
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,12101,COMPLEMENTO ESPECÍFICO,1417633
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,12103,OTROS COMPLEMENTOS,101365
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,13000,RETRIBUCIONES BÁSICAS,33231
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,13002,OTRAS REMUNERACIONES,72028
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,15000,PRODUCTIVIDAD,87531
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,16000,SEGURIDAD SOCIAL,807963
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,20400,ARRENDAMIENTOS DE MATERIAL DE TRANSPORTE,58526
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,20500,ARRENDAMIENTOS DE MOBILIARIO Y ENSERES,37923
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21200,REP.MANT. Y CONSERV. EDIFICIOS Y OTRAS CONSTRUC.,60761
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21300,"REP.MANT.Y CONSERV. MAQUINARIA, INSTAL. Y UTILLAJE",22163
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,12000
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",7952
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,8500
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22104,VESTUARIO,15000
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22199,OTROS SUMINISTROS,1700
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22603,PUBLICACIÓN EN DIARIOS OFICIALES,1500
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22606,"REUNIONES, CONFERENCIAS Y CURSOS",23362
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22699,OTROS GASTOS DIVERSOS,200
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22700,LIMPIEZA Y ASEO,195964
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,10000
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMP. Y PROF.,33457
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,23020,DEL PERSONAL NO DIRECTIVO,2000
2012,001,AYUNTAMIENTO DE MADRID,002,PRESIDENCIA DEL PLENO,92010,OFICINA DE LA PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,23399,OTRAS INDEMNIZACIONES,1000
2012,001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,10000,RETRIBUCIONES BÁSICAS,101988
2012,001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,11000,RETRIBUCIONES BÁSICAS,81310
2012,001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,11001,RETRIBUCIONES COMPLEMENTARIAS,216210
2012,001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,12004,SUELDOS DEL GRUPO C2,33516
2012,001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,12006,TRIENIOS,9510
2012,001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,12100,COMPLEMENTO DE DESTINO,20852
2012,001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,12101,COMPLEMENTO ESPECÍFICO,49192
2012,001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,12103,OTROS COMPLEMENTOS,5228
2012,001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,15000,PRODUCTIVIDAD,70756
2012,001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,1,GASTOS DE PERSONAL,16000,SEGURIDAD SOCIAL,127896
2012,001,AYUNTAMIENTO DE MADRID,010,ALCALDÍA,91201,ALCALDÍA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,16400
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,91202,VICEALCALDÍA,1,GASTOS DE PERSONAL,10000,RETRIBUCIONES BÁSICAS,97908
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,91202,VICEALCALDÍA,1,GASTOS DE PERSONAL,11000,RETRIBUCIONES BÁSICAS,47618
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,91202,VICEALCALDÍA,1,GASTOS DE PERSONAL,11001,RETRIBUCIONES COMPLEMENTARIAS,133794
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,91202,VICEALCALDÍA,1,GASTOS DE PERSONAL,12004,SUELDOS DEL GRUPO C2,9885
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,91202,VICEALCALDÍA,1,GASTOS DE PERSONAL,12006,TRIENIOS,1502
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,91202,VICEALCALDÍA,1,GASTOS DE PERSONAL,12100,COMPLEMENTO DE DESTINO,5527
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,91202,VICEALCALDÍA,1,GASTOS DE PERSONAL,12101,COMPLEMENTO ESPECÍFICO,14533
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,91202,VICEALCALDÍA,1,GASTOS DE PERSONAL,12103,OTROS COMPLEMENTOS,952
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,91202,VICEALCALDÍA,1,GASTOS DE PERSONAL,15000,PRODUCTIVIDAD,13167
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,91202,VICEALCALDÍA,1,GASTOS DE PERSONAL,16000,SEGURIDAD SOCIAL,65664
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,91202,VICEALCALDÍA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,8180
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,1,GASTOS DE PERSONAL,10100,RETRIBUCIONES BÁSICAS,85670
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,1,GASTOS DE PERSONAL,11000,RETRIBUCIONES BÁSICAS,282948
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,1,GASTOS DE PERSONAL,11001,RETRIBUCIONES COMPLEMENTARIAS,681836
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,1,GASTOS DE PERSONAL,12000,SUELDOS DEL GRUPO A1,170660
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,1,GASTOS DE PERSONAL,12001,SUELDOS DEL GRUPO A2,14677
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,1,GASTOS DE PERSONAL,12003,SUELDOS DEL GRUPO C1,42562
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,1,GASTOS DE PERSONAL,12004,SUELDOS DEL GRUPO C2,51780
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,1,GASTOS DE PERSONAL,12006,TRIENIOS,63230
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,1,GASTOS DE PERSONAL,12100,COMPLEMENTO DE DESTINO,150886
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,1,GASTOS DE PERSONAL,12101,COMPLEMENTO ESPECÍFICO,336791
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,1,GASTOS DE PERSONAL,12103,OTROS COMPLEMENTOS,22455
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,1,GASTOS DE PERSONAL,13000,RETRIBUCIONES BÁSICAS,190981
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,1,GASTOS DE PERSONAL,13002,OTRAS REMUNERACIONES,306171
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,1,GASTOS DE PERSONAL,13100,RETRIBUCIONES BÁSICAS,25507
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,1,GASTOS DE PERSONAL,13102,OTRAS REMUNERACIONES,32177
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,1,GASTOS DE PERSONAL,15000,PRODUCTIVIDAD,108282
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,1,GASTOS DE PERSONAL,16000,SEGURIDAD SOCIAL,544462
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22199,OTROS SUMINISTROS,5000
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22602,PUBLICIDAD Y PROPAGANDA,8400
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22606,"REUNIONES, CONFERENCIAS Y CURSOS",25000
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,1013738
2012,001,AYUNTAMIENTO DE MADRID,011,VICEALCALDÍA,92701,MEDIOS DE COMUNICACIÓN,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,25100,TRABAJOS REALIZADOS POR UNIVERSIDADES PÚBLICAS,30000
2012,001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,34102,COORDINACIÓN Y FOMENTO DEL DEPORTE,1,GASTOS DE PERSONAL,10100,RETRIBUCIONES BÁSICAS,85670
2012,001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,34102,COORDINACIÓN Y FOMENTO DEL DEPORTE,1,GASTOS DE PERSONAL,12000,SUELDOS DEL GRUPO A1,132093
2012,001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,34102,COORDINACIÓN Y FOMENTO DEL DEPORTE,1,GASTOS DE PERSONAL,12003,SUELDOS DEL GRUPO C1,22792
2012,001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,34102,COORDINACIÓN Y FOMENTO DEL DEPORTE,1,GASTOS DE PERSONAL,12004,SUELDOS DEL GRUPO C2,71550
2012,001,AYUNTAMIENTO DE MADRID,012,COORDINACIÓN GENERAL DE LA ALCALDÍA,34102,COORDINACIÓN Y FOMENTO DEL DEPORTE,1,GASTOS DE PERSONAL,12006,TRIENIOS,58605
