Número de proyecto,Clave del programa,Fondo,Clave de la entidad federativa,Entidad Federativa,Clave del municipio,Nombre del municipio,Nombre del proyecto,Monto aprobado
41,U128,PROYECTOS DE DESARROLLO REGIONAL,13,HIDALGO,3,ACTOPAN,"CONSTRUCCIÓN DE HOSPITAL DE 60 CAMAS EN EL MUNICIPIO DE ACTOPAN, HIDALGO","100,000,000"
42,U128,PROYECTOS DE DESARROLLO REGIONAL,6,COLIMA,999,COBERTURA ESTATAL,PROYECTOS DE INFRAESTRUCTURA REGIONAL EN COLIMA,"60,000,000"
43,U128,PROYECTOS DE DESARROLLO REGIONAL,10,DURANGO,5,DURANGO,"CONSTRUCCIÓN DE INSTALACIONES DEL DIF, EN EL MUNICIPIO DE DURANGO, DURANGO","100,000,000"
44,U128,PROYECTOS DE DESARROLLO REGIONAL,10,DURANGO,7,GÓMEZ PALACIO,PROGRAMA DE REPAVIMENTACIÓN EN EL ESTADO DE DURANGO,"100,000,000"
45,U128,PROYECTOS DE DESARROLLO REGIONAL,10,DURANGO,5,DURANGO,"CONSTRUCCIÓN DE CIUDAD DEPORTIVA, EN EL MUNICIPIO DE DURANGO, DURANGO","100,000,000"
46,U128,PROYECTOS DE DESARROLLO REGIONAL,10,DURANGO,5,DURANGO,"CONSTRUCCIÓN DE CIUDAD UNIVERSITARIA, EN EL MUNICIPIO DE DURANGO, DURANGO","150,000,000"
47,U128,PROYECTOS DE DESARROLLO REGIONAL,10,DURANGO,5,DURANGO,"MODERNIZACIÓN AVENIDA 20 DE NOVIEMBRE, EN EL MUNICIPIO DE DURANGO, DURANGO","80,000,000"
48,U128,PROYECTOS DE DESARROLLO REGIONAL,10,DURANGO,7,GÓMEZ PALACIO,"CONSTRUCCIÓN DE RECINTO FERIAL Y DE CONVENCIONES DE GÓMEZ PALACIO, EN DURANGO","20,000,000"
49,U128,PROYECTOS DE DESARROLLO REGIONAL,10,DURANGO,5,DURANGO,"REHABILITACIÓN DE LOS PARQUES GUADIANA Y SAHUATOBA, EN EL MUNICIPIO DE DURANGO, DURANGO","50,000,000"
50,U128,PROYECTOS DE DESARROLLO REGIONAL,18,NAYARIT,6,IXTLÁN DEL RÍO,"MERCADO DE IXTLÁN, EN EL MUNICIPIO DE IXTLÁN DEL RÍO, NAYARIT","35,000,000"
51,U128,PROYECTOS DE DESARROLLO REGIONAL,18,NAYARIT,12,SAN BLAS,"MUELLE MALECÓN 3ERA. ETAPA, EN EL MUNICIPIO DE SAN BLAS, NAYARIT","60,000,000"
52,U128,PROYECTOS DE DESARROLLO REGIONAL,18,NAYARIT,20,BAHÍA DE BANDERAS,"CONSTRUCCIÓN DE PASO SUPERIOR EN BUCERÍAS (O MEZCALES), EN EL MUNICIPIO DE BAHÍA DE BANDERAS, NAYARIT","94,000,000"
53,U128,PROYECTOS DE DESARROLLO REGIONAL,18,NAYARIT,19,LA YESCA,"INFRAESTRUCTURA Y VIALIDADES EN EL MUNICIPIO DE LA YESCA, EN EL MUNICIPIO DE LA YESCA, NAYARIT","10,000,000"
54,U128,PROYECTOS DE DESARROLLO REGIONAL,18,NAYARIT,12,SAN BLAS,"CAMINO E.C. (ATICAMA - MATANCHEN) - LA PALMA - LA BAJADA, EN EL MUNICIPIO DE SAN BLAS, NAYARIT","4,000,000"
55,U128,PROYECTOS DE DESARROLLO REGIONAL,18,NAYARIT,15,SANTIAGO IXCUINTLA,"UNIDAD DEPORTIVA (SEGUNDA ETAPA), EN EL MUNICIPIO DE SANTIAGO IXCUINTLA, NAYARIT","20,000,000"
56,U128,PROYECTOS DE DESARROLLO REGIONAL,18,NAYARIT,17,TEPIC,"REHABILITACIÓN DE AVENIDA AGUAMILPA TRAMO: F.F.C.C. A LA LOCALIDAD DE LA CANTERA DEL KM 3+340 AL KM. 4+840 (TRAMO DEL KM. 3+400 AL KM 3+670) EN TEPIC (SEGUNDA ETAPA), EN EL MUNICIPIO DE TEPIC, NAYARIT","11,000,000"
57,U128,PROYECTOS DE DESARROLLO REGIONAL,18,NAYARIT,17,TEPIC,"CONSERVACIÓN MAYOR DEL CAMINO ARENA CORA DE ACCESO AL ESTADIO ARENA CORA CANTERA-ESTADIO Y ENTRONQUE CAMICHIN-ESTADIO, EN EL MUNICIPIO DE TEPIC, NAYARIT","8,500,000"
58,U128,PROYECTOS DE DESARROLLO REGIONAL,18,NAYARIT,1,ACAPONETA,"CONSTRUCCIÓN DE CANCHA DE BEISBOL EN LA LOCALIDAD ACAPONETA, EN EL MUNICIPIO DE ACAPONETA, NAYARIT","9,800,000"
59,U128,PROYECTOS DE DESARROLLO REGIONAL,18,NAYARIT,4,COMPOSTELA,"CONSERVACIÓN MAYOR DEL CAMINO: ZACUALPAN-IXTAPA DE LA CONCEPCIÓN, EN EL MUNICIPIO DE COMPOSTELA, NAYARIT","20,000,000"
60,U128,PROYECTOS DE DESARROLLO REGIONAL,18,NAYARIT,8,XALISCO,"CAMINO EL CORA - PALAPITAS , EN EL MUNICIPIO DE XALISCO, NAYARIT","10,000,000"
61,U128,PROYECTOS DE DESARROLLO REGIONAL,18,NAYARIT,6,IXTLÁN DEL RÍO,"CARRETERA CACALUTÁN - IXTLÁN DEL RIO 1A ETAPA, EN EL MUNICIPIO DE IXTLÁN DEL RÍO, NAYARIT","16,600,000"
62,U128,PROYECTOS DE DESARROLLO REGIONAL,18,NAYARIT,3,AMATLÁN DE CAÑAS,"CONSERVACIÓN MAYOR DE AMATLÁN DE CAÑAS - YERBABUENA, EN EL MUNICIPIO DE AMATLÁN DE CAÑAS, NAYARIT","8,000,000"
63,U128,PROYECTOS DE DESARROLLO REGIONAL,18,NAYARIT,999,COBERTURA ESTATAL,INFRAESTRUCTURA SOCIAL EN NAYARIT,"155,100,000"
64,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,106,TOLUCA,"CENTRO DE CONVENCIONES EN EL MUNICIPIO DE TOLUCA, ESTADO DE MÉXICO","100,000,000"
65,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,110,VALLE DE BRAVO,"CONSTRUCCIÓN DEL CAMPO DE ENTRENAMIENTO MILITAR PARA LA MARINA, EN VALLE DE BRAVO, ESTADO DE MÉXICO","100,000,000"
66,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,109,TULTITLÁN,"CIRCUITO NAUCALPAN, LA PERLA, CHILPANCINGO, EN EL MUNICIPIO DE TULTITLÁN ESTADO DE MÉXICO","50,000,000"
67,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,33,ECATEPEC DE MORELOS,"CONSTRUCCIÓN DE AUDITORIO METROPOLITANO, EN EL MUNICIPIO DE ECATEPEC DE MORELOS, ESTADO DE MÉXICO","200,000,000"
68,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,106,TOLUCA,"REHABILITACIÓN DEL TEATRO MORELOS, EN EL MUNICIPIO DE TOLUCA, ESTADO DE MÉXICO","150,000,000"
69,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,999,COBERTURA ESTATAL,BACHEO Y PAVIMENTACIÓN DE CALLES EN EL ESTADO DE MÉXICO,"200,000,000"
70,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,14,ATLACOMULCO,"INFRAESTRUCTURA SOCIAL , EN ATLACOMULCO, ESTADO DE MÉXICO","50,000,000"
71,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,10,CALAKMUL,"CONSTRUCCIÓN DE LA ESTACIÓN DE LA BIODIVERSIDAD EN EL MUNICIPIO DE CALAKMUL, CAMPECHE","15,000,000"
72,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,10,CALAKMUL,"MEJORAMIENTO URBANO EN LA LOCALIDAD DE NUEVO CONHUÁS MUNICIPIO DE CALAKMUL, CAMPECHE","5,000,000"
73,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,3,CARMEN,"INTRODUCCIÓN DE INFRAESTRUCTURA DE AGUA POTABLE EN CARMEN, CAMPECHE","50,000,000"
74,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,2,CAMPECHE,"RECINTO FERIAL, ARTESANAL, TURÍSTICO Y CULTURAL, LA DÁRSENA DE SAN FRANCISCO, CAMPECHE (PROGRAMA NACIONAL DE INFRAESTRUCTURA)","53,500,000"
75,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,3,CARMEN,"BOSQUE URBANO AMBIENTAL EN CIUDAD DEL CARMEN, CAMPECHE","22,000,000"
76,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,2,CAMPECHE,"RECUPERACIÓN DE BALUARTES EN SAN FRANCISCO DE CAMPECHE, CAMPECHE (PROGRAMA NACIONAL DE INFRAESTRUCTURA)","40,500,000"
77,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,999,COBERTURA ESTATAL,REHABILITACIÓN DE AEROPISTAS EN EL ESTADO DE CAMPECHE,"32,000,000"
78,U128,PROYECTOS DE DESARROLLO REGIONAL,4,CAMPECHE,3,CARMEN,PARQUE LINEAL Y CALETA EN CIUDAD DEL CARMEN EN CAMPECHE,"52,000,000"
79,U128,PROYECTOS DE DESARROLLO REGIONAL,14,JALISCO,39,GUADALAJARA,"CIUDAD CREATIVA DIGITAL, EN JALISCO","300,000,000"
80,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,36,JIMÉNEZ,"AMPLIACIÓN Y CONSTRUCCIÓN DE DEPORTIVO PLAZA DE TOROS, EN EL MUNICIPIO DE JIMÉNEZ, CHIHUAHUA","6,107,550"
81,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,55,ROSALES,"CONSTRUCCIÓN DE PARQUE INTEGRAL, EN EL MUNICIPIO DE ROSALES, CHIHUAHUA","1,468,531"
82,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,49,NONOAVA,"REMODELACIÓN DE CAMPO DE BEISOL PROFESIONAL SAINAPUCHI, EN EL MUNICIPIO DE NONOAVA, CHIHUAHUA","4,426,150"
83,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,49,NONOAVA,"CONSTRUCCIÓN DE CANCHA DEPORTIVA DE USOS MÚLTIPLES NONOAVA, CHIHUAHUA","2,000,000"
84,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,48,NAMIQUIPA,"CONSTRUCCIÓN DE CANCHA DEPORTIVA DE USOS MÚLTIPLES NAMIQUIPA, CHIHUAHUA","2,000,000"
85,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,40,MADERA,"CONSTRUCCIÓN DE CANCHA DEPORTIVA DE USOS MÚLTIPLES MADERA, CHIHUAHUA","4,000,000"
86,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,31,GUERRERO,"CONSTRUCCIÓN DE CANCHA DEPORTIVA DE USOS MÚLTIPLES GUERRERO, CHIHUAHUA","4,000,000"
87,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,27,GUACHOCHI,"CONSTRUCCIÓN DE CANCHA DEPORTIVA DE USOS MÚLTIPLES GUACHOCHI, CHIHUAHUA","4,400,000"
88,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,23,GALEANA,"CONSTRUCCIÓN DE CANCHA DEPORTIVA DE USOS MULTIPLES GALEANA, CHIHUAHUA","3,200,000"
89,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,45,MEOQUI,"CONSTRUCCIÓN UNIDAD DEPORTIVA SAN FRANCISCO, EN EL MUNICIPIO DE MEOQUI, CHIHUAHUA","1,916,125"
90,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,24,SANTA ISABEL,"CONSTRUCCIÓN CAMPO DE BEISBOL, EN EL MUNICIPIO DE SANTA ISABEL, CHIHUAHUA","3,253,127"
91,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,17,CUAUHTÉMOC,"CONSTRUCCIÓN DE DOMOS (6 ESCUELAS), EN EL MUNICIPIO DE CUAUHTÉMOC, CHIHUAHUA","4,800,000"
92,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,17,CUAUHTÉMOC,"CONSTRUCCIÓN DE CANCHA DE FUTBOL CBTIS 117 CON PASTO SINTÉTICO, EN EL MUNICIPIO DE CUAUHTÉMOC, CHIHUAHUA","3,500,000"
93,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,10,BUENAVENTURA,"REHABILITACIÓN DEL CENTRO COMUNITARIO DE SAN LORENZO, EN EL MUNICIPIO DE BUENAVENTURA, CHIHUAHUA","2,161,257"
94,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,45,MEOQUI,"REHABILITACIÓN DEL TEATRO DE LA CIUDAD, EN EL MUNICIPIO DE MEOQUI, CHIHUAHUA","1,500,000"
95,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,62,SAUCILLO,"CONSTRUCCIÓN DE CANCHA DE FUTBOL RÁPIDO, EN EL MUNICIPIO DE SAUCILLO, CHIHUAHUA","1,267,260"
96,U128,PROYECTOS DE DESARROLLO REGIONAL,20,OAXACA,67,OAXACA DE JUÁREZ,"CONSTRUCCIÓN DE COMPLEJO DEPORTIVO ZONA PONIENTE, EN OAXACA DE JUÁREZ, OAXACA","140,000,000"
97,U128,PROYECTOS DE DESARROLLO REGIONAL,20,OAXACA,67,OAXACA DE JUÁREZ,"CONSTRUCCIÓN DE CENTRO CULTURAL Y DE CONVENCIONES, EN OAXACA DE JUÁREZ, OAXACA","170,000,000"
98,U128,PROYECTOS DE DESARROLLO REGIONAL,20,OAXACA,390,SANTA LUCÍA DEL CAMINO,"CONSTRUCCIÓN DE LA CIUDAD DE LOS ARCHIVOS, EN SANTA LUCÍA DEL CAMINO, OAXACA","190,000,000"
99,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,999,COBERTURA ESTATAL,INFRAESTRUCTURA SOCIAL EN TAMAULIPAS,"100,000,000"
100,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,999,COBERTURA ESTATAL,PARQUE TEMÁTICO DE LA CIUDAD DE LOS NIÑOS EN TAMAULIPAS,"45,000,000"
101,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,999,COBERTURA ESTATAL,INFRAESTRUCTURA SOCIAL EN VERACRUZ DE IGNACIO DE LA LLAVE,"300,000,000"
102,U128,PROYECTOS DE DESARROLLO REGIONAL,9,DISTRITO FEDERAL,999,COBERTURA ESTATAL,PROYECTO DE INFRAESTRUCTURA URBANA EN EL DISTRITO FEDERAL,"450,000,000"
103,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,101,TUXTLA GUTIÉRREZ,"CONSTRUCCIÓN DEL VIADUCTO EMBLEMÁTICO TUCHTLÁN, EN EL MUNICIPIO DE TUXTLA GUTIÉRREZ, CHIAPAS","150,000,000"
104,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,19,COMITÁN DE DOMÍNGUEZ,"GRAN BIBLIOTECA MAYA, EN EL MUNICIPIO DE COMITÁN DE DOMÍNGUEZ, CHIAPAS","60,000,000"
105,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,999,COBERTURA ESTATAL,"RELLENOS SANITARIOS EN DIVERSOS MUNICIPIOS DEL ESTADO, EN EL MUNICIPIO DE COBERTURA ESTATAL, CHIAPAS","100,000,000"
106,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,78,SAN CRISTÓBAL DE LAS CASAS,"REHABILITACIÓN DEL SEDEM, 2A. ETAPA, EN EL MUNICIPIO DE SAN CRISTÓBAL DE LAS CASAS, CHIAPAS","70,000,000"
