Número de proyecto,Clave del programa,Fondo,Clave de la entidad federativa,Entidad Federativa,Clave del municipio,Nombre del municipio,Nombre del proyecto,Monto aprobado,Pagado,
18,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE DEL CLAVEL ENTRE CALLE MANUEL ACUÑA Y CALLE DE LA ROSA DE LA COLONIA JARDINES DE AMADO NERVO, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","952,091.00", -   ,
19,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE DEL OLMO ENTRE CALLE DEL CEDRO Y CALLE DEL ABETO DE LA COLONIA TERESA MORALES, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","589,648.00", -   ,
20,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE DEL ROBLE ENTRE CALLE DEL OLMO Y CALLE ANTONIO PLAZA DE LA COLONIA TERESA MORALES, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","1,672,744.00", -   ,
21,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE DURANGO ENTRE CALLE CIRC. MAGISTERIAL Y CALLE GLADIOLAS DE LA COLONIA LUIS DONALDO COLOSIO, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","1,852,217.00", -   ,
22,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE ENRIQUE RANGEL ENTRE CALLE 20 DE NOV Y CALLE FLORES MAGON DE LA COLONIA PEDREGAL, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","646,243.00", -   ,
23,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE FRANCISCO VILLA ENTRE CALLE REPUBLICA MEXICANA Y CALLE ENRIQUE RANGEL DE LA COLONIA PEDREGAL, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","1,059,680.00", -   ,
24,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE GUDELIO MORALES ENTRE CALLE EZEQUIEL NIETO MERINO Y CALLE COFRE DE PEROTE DE LA COLONIA LANDA, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","595,813.00", -   ,
25,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE IGNACIO LOPEZ RAYON ENTRE CALLE SAN CARLOS Y CALLE J J CORONADO DE LA COLONIA COLEGIO MILITAR, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","380,971.00", -   ,
26,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE IGNACIO ZARAGOZA ENTRE CALLE ANTONIO PLAZA Y CALLE JUAN DE DIOS PEZA DE LA COLONIA EMILIANO ZAPATA, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","1,689,208.00", -   ,
27,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE MANUEL ACUÑA ENTRE CALLE OCOPILA Y CALLE JUSTO SIERRA DE LA COLONIA AMADO NERVO, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","852,410.00", -   ,
28,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE MARIANO ESCOBEDO ENTRE CALLE 26 DE JUNIO Y CALLE FLORES MAGON DE LA COLONIA PEDREGAL, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","243,830.00", -   ,
29,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE MARIANO ESCOBEDO ENTRE CALLE CUAUHTEMOC Y CALLE FLORES MAGON DE LA COLONIA PEDREGAL, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","715,149.00", -   ,
30,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE MELCHOR OCAMPO ENTRE CALLE JUAN DE LA LUZ ENRIQUEZ Y CALLE FELIPE CARRILLO PUERTO DE LA COLONIA VICENTE GUERRERO, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","1,316,012.00", -   ,
31,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE MIGUEL DE CERVANTES ENTRE CALLE JUAN DE DIOS PEZA Y CALLE BAIZABAL DE LA COLONIA FRANCISCO VILLA, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","1,562,420.00", -   ,
32,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE NICOLAS BRAVO ENTRE CALLE PLUTARCO ELIAS CALLES Y CALLE PORFIRIO DIAZ DE LA COLONIA EMILIANO ZAPATA, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","1,065,928.00", -   ,
33,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE NIÑOS HEROES ENTRE CALLE SAN CARLOS Y CALLE J J CORONADO DE LA COLONIA COLEGIO MILITAR, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","551,572.00", -   ,
34,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE PORFIRIO DIAZ ENTRE CALLE NICOLAS BRAVO Y CALLE JUAN DE DIOS PEZA DE LA COLONIA EMILIANO ZAPATA, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","1,289,368.00", -   ,
35,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE PRIV ALVARO OBREGON ENTRE CALLE PRIV ALVARO OBREGON Y CALLE ALVARO OBREGON DE LA COLONIA EMILIANO ZAPATA, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","422,068.00", -   ,
36,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE RIO COATZACOALCOS ENTRE CALLE PAPALOAPAN Y CALLE TECOLUTLA DE LA COLONIA AMPLIACIÓN VERACRUZ, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","548,672.00", -   ,
37,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE RIO COATZACOALCOS ENTRE CALLE RIO CAZONES Y CALLE RIO TECOLUTLA DE LA COLONIA AMP. VERACRUZ, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","583,180.00", -   ,
38,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE RIO NAUTLA ENTRE CALLE PAPALOAPAN Y CALLE TECOLUTLA DE LA COLONIA AMPLIACIÓN VERACRUZ, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","538,749.00", -   ,
39,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE RIO TECOLUTLA ENTRE CALLE OCOPILA Y CALLE DEL OLMO DE LA COLONIA AMPLIACIÓN VERACRUZ, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","1,798,355.00", -   ,
40,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE RIO TEMPOAL ENTRE CALLE BARRANCA DE OCOPILA Y CALLE DEL OLMO DE LA COLONIA AMPLIACIÓN VERACRUZ, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","1,909,708.00", -   ,
41,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE RIO TONALA ENTRE CALLE PAPALOAPAN Y CALLE TECOLUTLA DE LA COLONIA AMPLIACIÓN VERACRUZ, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","542,608.00", -   ,
42,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE RIO TONALA ENTRE CALLE RIO CAZONES Y CALLE RIO TECOLUTLA DE LA COLONIA AMP. VERACRUZ, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","584,944.00", -   ,
43,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE RIO TUXPAN ENTRE CALLE OCOPILA Y CALLE DEL OLMO DE LA COLONIA AMPLIACIÓN VERACRUZ, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","1,795,599.00", -   ,
44,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE SAN RAFAEL ENTRE CALLE SAN FRANCISCO DE ASIS Y CALLE SALVADOR GONZALEZ DE LA COLONIA SAN RAFAEL, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","1,806,279.00", -   ,
45,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE TABASCO ENTRE CALLE DURANGO Y CALLE VIOLETAS DE LA COLONIA LUIS DONALDO COLOSIO, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","1,456,580.00", -   ,
46,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE VIOLETAS ENTRE CALLE BLV. INSURGENTES Y CALLE VERACRUZ DE LA COLONIA COLOSIO, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","1,670,770.00", -   ,
47,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,128,PEROTE,"CALLE YUCATAN ENTRE CALLE DURANGO Y CALLE VIOLETAS DE LA COLONIA LUIS DONALDO COLOSIO, EN EL MUNICIPIO DE PEROTE, EN EL ESTADO DE VERACRUZ","1,291,205.00", -   ,
48,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,79,SOYANIQUILPAN DE JUÁREZ,"CAMINO A LAS CASCADAS-SAN AGUSTÍN, EN EL MUNICIPIO DE SOYANIQUILPAN DE JUÁREZ, EN EL ESTADO DE MÉXICO","5,414,990.00", -   ,
49,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,75,SAN MARTÍN DE LAS PIRÁMIDES,"CAMINO DE SAN ANTONIO DE LAS PALMAS A SANTA MARÍA PALAPA, EN EL MUNICIPIO DE SAN MARTÍN DE LAS PIRÁMIDES, EN EL ESTADO DE MÉXICO","18,880,000.00", -   ,
50,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,79,SOYANIQUILPAN DE JUÁREZ,"CAMINO LA VEGA-SANTIAGO OXTHOC, EN EL MUNICIPIO DE SOYANIQUILPAN DE JUÁREZ, EN EL ESTADO DE MÉXICO","6,573,313.00", -   ,
51,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,66,OTZOLOAPAN,"CAMINO PINAL DEL MARQUESADO A VALLE DE BRAVO, EN EL MUNICIPIO DE OTZOLOAPAN, EN EL ESTADO DE MÉXICO","26,150,000.00", -   ,
52,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,79,SOYANIQUILPAN DE JUÁREZ,"CAMINO POZO DE BOMBEO-AHORCADO SANTA CRUZ, EN EL MUNICIPIO DE SOYANIQUILPAN DE JUÁREZ, EN EL ESTADO DE MÉXICO","8,742,698.00", -   ,
53,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,114,PUEBLA,"CAMINO RURAL E.C. (EL AGUACATE-LOS ÁNGELES TETELA) SAN JOSÉ XAXACMAYO (PRIMERA ETAPA), EN EL MUNICIPIO DE PUEBLA, EN EL ESTADO DE PUEBLA","6,100,000.00", -   ,
54,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,9999,COBERTURA ESTATAL,"CARPETA ASFÁLTICA CARRETERA DE INGRESO AL MUNICIPIO DE TARETAN, MICHOACÁN","27,000,000.00", -   ,
55,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,9999,COBERTURA ESTATAL,"CARPETA ASFÁLTICA CARRETERA GÓMEZ FARÍAS - SAN ANTONIO OCAMPO DEL MUNICIPIO DE TANGANCICUARO, MICHOACÁN DE OCAMPO","30,000,000.00", -   ,
56,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,9999,COBERTURA ESTATAL,"CARPETA ASFÁLTICA CARRETERA LOS LIMONES LOS REYES, MICHOACÁN","6,000,000.00", -   ,
57,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,35,LA HUACANA,"CARRETERA CAYACO-HACIENDA VIEJA, EN EL MUNICIPIO DE LA HUACANA, EN EL ESTADO DE MICHOACÁN","21,203,983.00", -   ,
58,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,9,JALAPA,"CONSTRUCCIÓN DE CONCRETO HIDRÁULICO DE ANDADOR EN EL MUNICIPIO DE JALAPA, TABASCO","1,350,000.00", -   ,
59,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,5,ACTEOPAN,"CONSTRUCCIÓN CON CONCRETO HIDRÁULICO DE LAS CALLES ZARAGOZA, ITURBIDE Y NIÑO PERDIDO, EN EL MUNICIPIO DE ACTEOPAN, EN EL ESTADO DE PUEBLA","1,630,643.00", -   ,
60,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,17,TENOSIQUE,"CONSTRUCCIÓN CON CONCRETO HIDRÁULICO EN LA AV. CONSTITUCIÓN 1ERA ETAPA, EN EL MUNICIPIO DE TENOSIQUE, EN EL ESTADO DE TABASCO","4,800,000.00", -   ,
61,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,9,JALAPA,"CONSTRUCCIÓN DE CONCRETO HIDRÁULICO DE CALLE, BANQUETAS Y GUARNICIONES DE LA CALLE PROLONGACIÓN DE JOSÉ M. PINO SUAREZ UBICADO EN LA CIUDAD DE JALAPA TABASCO","2,870,000.00", -   ,
62,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,4,CENTRO,"CONSTRUCCIÓN DE PAVIMENTACIÓN DE CONCRETO HIDRÁULICO EN EL MUNICIPIO DE CENTRO, TABASCO","1,334,464.00", -   ,
63,U128,PROYECTOS DE DESARROLLO REGIONAL,20,OAXACA,385,SANTA CRUZ XOXOCOTLÁN,"CONSTRUCCION DE ALUMBRADO PUBLICO EN EL CAMINO A SAN AGUSTIN DE LAS JUNTAS, EN EL MUNICIPIO DE SANTA CRUZ XOXOCOTLÁN, EN EL ESTADO DE OAXACA","2,875,125.00", -   ,
64,U128,PROYECTOS DE DESARROLLO REGIONAL,17,MORELOS,5,COATLÁN DEL RÍO,"CONSTRUCCIÓN DE ANDADOR, COLONIA COCOYOTLA, COLONIA EL 35, COATLÁN DEL RÍO, MORELOS","2,299,540.00", -   ,
65,U128,PROYECTOS DE DESARROLLO REGIONAL,17,MORELOS,22,TETELA DEL VOLCÁN,"CONSTRUCCIÓN DE BANQUETAS Y GUARNICIONES EN AV. REFORMA, HUEYAPAN, TETELA DEL VOLCÁN, MORELOS.","799,964.00", -   ,
66,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,10,JALPA DE MÉNDEZ,"CONSTRUCCIÓN DE BOULEVARD EN EL MUNICIPIO DE JALPA DE MÉNDEZ, TABASCO","4,000,000.00", -   ,
67,U128,PROYECTOS DE DESARROLLO REGIONAL,29,TLAXCALA,33,TLAXCALA,"CONSTRUCCIÓN DE CALZADA SAN GABRIEL, EN EL MUNICIPIO DE TLAXCALA, TLAXCALA","3,500,000.00", -   ,
68,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,13,BOCHIL,"CONSTRUCCIÓN DE CAMINO DE MONTEGRANDE A HIERBABUENA A ISBONTICK INCLUYE RAMAL BARRIO SITETIC, EN EL MUNICIPIO DE BOCHIL, EN EL ESTADO DE CHIAPAS","5,000,000.00", -   ,
69,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,13,BOCHIL,"CONSTRUCCIÓN DE CAMINO E.C. (CATE - PICHUCALCO) - LA LAGUNITA, EN EL MUNICIPIO DE BOCHIL, EN EL ESTADO DE CHIAPAS","8,600,837.00", -   ,
70,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,15,COALCOMÁN DE VÁZQUEZ PALLARES,"CONSTRUCCIÓN DE CAMINO LOS RANCHOS-LAS TROJES TRAMO KM 6+300 AL KM 15 +000 (C), EN EL MUNICIPIO DE COALCOMÁN DE VÁZQUEZ PALLARES, EN EL ESTADO DE MICHOACÁN","20,000,000.00", -   ,
71,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,13,BOCHIL,"CONSTRUCCIÓN DE CAMINO LUIS ESPINOZA - LAGUNA, EN EL MUNICIPIO DE BOCHIL, EN EL ESTADO DE CHIAPAS","10,000,000.00", -   ,
72,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,81,SIMOJOVEL,"CONSTRUCCIÓN DE CARRETERA DE SIMOJOVEL A LA COMUNIDAD LA PIMIENTA, EN EL ESTADO DE CHIAPAS","10,000,000.00", -   ,
73,U128,PROYECTOS DE DESARROLLO REGIONAL,17,MORELOS,6,CUAUTLA,"CONSTRUCCIÓN DE CARRETERA EN EL MUNICIPIO DE CUAUTLA, EN EL ESTADO DE MORELOS","15,000,000.00", -   ,
74,U128,PROYECTOS DE DESARROLLO REGIONAL,14,JALISCO,23,ZAPOTLÁN EL GRANDE,"CONSTRUCCIÓN DE CICLO-PISTA Y ANDADOR PEATONAL EN EL MUNICIPIO DE ZAPOTLÁN EL GRANDE, JALISCO","5,000,000.00", -   ,
75,U128,PROYECTOS DE DESARROLLO REGIONAL,14,JALISCO,63,OCOTLÁN,"CONSTRUCCIÓN DE CICLO-PISTAS Y ANDADORES PEATONALES EN EL MUNICIPIO DE OCOTLÁN, JALISCO","15,000,000.00", -   ,
76,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,9,JALAPA,"CONSTRUCCIÓN DE CONCRETO HIDRÁULICO DE CALLE, BANQUETAS Y GUARNICIONES EN LA CALLE BLVD. FCO J. SANTA MARÍA EN LA CIUDAD DE JALAPA, TABASCO","2,180,000.00", -   ,
77,U128,PROYECTOS DE DESARROLLO REGIONAL,14,JALISCO,1,ACATIC,"CONSTRUCCIÓN DE CONCRETO HIDRÁULICO EN LAS CALLES GIGANTES Y SAN JOSÉ, MUNICIPIO DE ACATIC, JALISCO","3,000,000.00", -   ,
78,U128,PROYECTOS DE DESARROLLO REGIONAL,32,ZACATECAS,9999,COBERTURA ESTATAL,"CONSTRUCCIÓN DE DISTRIBUIDOR VIAL BRACHO, EN EL ESTADO DE ZACATECAS","120,000,000.00", -   ,
79,U128,PROYECTOS DE DESARROLLO REGIONAL,32,ZACATECAS,9999,COBERTURA ESTATAL,"CONSTRUCCIÓN DE DISTRIBUIDOR VIAL VETAGRANDE, EN EL ESTADO DE ZACATECAS","200,000,000.00", -   ,
80,U128,PROYECTOS DE DESARROLLO REGIONAL,14,JALISCO,28,CUAUTLA,"CONSTRUCCIÓN DE EMPEDRADO AHOGADO EN CEMENTO, MUNICIPIO DE CUAUTLA, JALISCO","5,500,000.00", -   ,
81,U128,PROYECTOS DE DESARROLLO REGIONAL,14,JALISCO,109,UNIÓN DE SAN ANTONIO,"CONSTRUCCIÓN DE EMPEDRADO AHOGADO EN CONCRETO EN CALLE CIRCUITO SAN JOSÉ DEL CALICHE, EN EL MUNICIPIO UNIÓN DE SAN ANTONIO, JALISCO","6,000,000.00", -   ,
82,U128,PROYECTOS DE DESARROLLO REGIONAL,14,JALISCO,90,TENAMAXTLÁN,"CONSTRUCCIÓN DE EMPEDRADO AHOGADO EN CONCRETO EN LA CALLE GUADALAJARA DEL FRACCIONAMIENTO JALISCO DEL MUNICIPIO DE TENAMAXTLÁN, JALISCO","1,230,000.00", -   ,
83,U128,PROYECTOS DE DESARROLLO REGIONAL,14,JALISCO,90,TENAMAXTLÁN,"CONSTRUCCIÓN DE EMPEDRADO AHOGADO EN CONCRETO EN LA CALLE TLAQUEPAQUE DEL FRACCIONAMIENTO JALISCO DEL MUNICIPIO DE TENAMAXTLÁN, JALISCO","510,000.00", -   ,
84,U128,PROYECTOS DE DESARROLLO REGIONAL,14,JALISCO,90,TENAMAXTLÁN,"CONSTRUCCIÓN DE EMPEDRADO AHOGADO EN CONCRETO EN LA CALLE TONALÁ DEL FRACCIONAMIENTO JALISCO DEL MUNICIPIO DE TENAMAXTLÁN, JALISCO","860,000.00", -   ,
85,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,8,SAN JOSÉ DE GRACIA,"CONSTRUCCIÓN DE EMPEDRADO CON RODERAS, RED DE AGUA POTABLE Y RED DE ALCANTARILLADO, CALLE ANTONIO LÓPEZ, CABECERA MUNICIPAL, SAN JOSÉ DE GRACIA, AGUASCALIENTES.","2,267,422.00", -   ,
86,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,8,SAN JOSÉ DE GRACIA,"CONSTRUCCIÓN DE EMPEDRADO CON RODERAS, RED DE AGUA POTABLE Y RED DE ALCANTARILLADO, CALLE DOMINGO DE LA CRUZ, CABECERA MUNICIPAL SAN JOSÉ DE GRACIA, EN EL MUNICIPIO DE SAN JOSÉ DE GRACIA, EN EL ESTADO DE AGUASCALIENTES","2,245,838.00", -   ,
