Датум на објавување;Број раздел;Назив раздел;Сметка;Број потпрограма;Назив потпрограма;Категорија;Назив категорија;Ставка;Назив ставка;Буџет
2014-01-01T00:00:00;1001;ПРЕТСЕДАТЕЛ НА РЕПУБЛИКА МАКЕДОНИЈА;785;20;ПРЕТСЕДАТЕЛ НА РМ;42;СТОКИ И УСЛУГИ;420;Патни и дневни расходи;1600000
2014-01-01T00:00:00;1001;ПРЕТСЕДАТЕЛ НА РЕПУБЛИКА МАКЕДОНИЈА;785;20;ПРЕТСЕДАТЕЛ НА РМ;42;СТОКИ И УСЛУГИ;421;Комунални услуги, греење, комуникација и транспорт;40000
2014-01-01T00:00:00;1001;ПРЕТСЕДАТЕЛ НА РЕПУБЛИКА МАКЕДОНИЈА;785;20;ПРЕТСЕДАТЕЛ НА РМ;42;СТОКИ И УСЛУГИ;423;Материјали и ситен инвентар;20000
2014-01-01T00:00:00;1001;ПРЕТСЕДАТЕЛ НА РЕПУБЛИКА МАКЕДОНИЈА;785;20;ПРЕТСЕДАТЕЛ НА РМ;42;СТОКИ И УСЛУГИ;425;Договорни услуги;300000
2014-01-01T00:00:00;1001;ПРЕТСЕДАТЕЛ НА РЕПУБЛИКА МАКЕДОНИЈА;785;20;ПРЕТСЕДАТЕЛ НА РМ;42;СТОКИ И УСЛУГИ;426;Други тековни расходи;1000000
2014-01-01T00:00:00;1002;АГЕНЦИЈА ЗА РАЗУЗНАВАЊЕ;630;10;АДМИНИСТРАЦИЈА;40;ПЛАТИ И НАДОМЕСТОЦИ;401;Основни плати;19939000
2014-01-01T00:00:00;1002;АГЕНЦИЈА ЗА РАЗУЗНАВАЊЕ;630;10;АДМИНИСТРАЦИЈА;40;ПЛАТИ И НАДОМЕСТОЦИ;402;Придонеси за социјално осигурување;8156000
2014-01-01T00:00:00;1002;АГЕНЦИЈА ЗА РАЗУЗНАВАЊЕ;630;10;АДМИНИСТРАЦИЈА;42;СТОКИ И УСЛУГИ;421;Комунални услуги, греење, комуникација и транспорт;3000000
2014-01-01T00:00:00;1002;АГЕНЦИЈА ЗА РАЗУЗНАВАЊЕ;630;10;АДМИНИСТРАЦИЈА;42;СТОКИ И УСЛУГИ;423;Материјали и ситен инвентар;500000
2014-01-01T00:00:00;1002;АГЕНЦИЈА ЗА РАЗУЗНАВАЊЕ;630;10;АДМИНИСТРАЦИЈА;42;СТОКИ И УСЛУГИ;424;Поправки и тековно одржување;600000
2014-01-01T00:00:00;1002;АГЕНЦИЈА ЗА РАЗУЗНАВАЊЕ;630;10;АДМИНИСТРАЦИЈА;42;СТОКИ И УСЛУГИ;425;Договорни услуги;110000
2014-01-01T00:00:00;1002;АГЕНЦИЈА ЗА РАЗУЗНАВАЊЕ;630;10;АДМИНИСТРАЦИЈА;42;СТОКИ И УСЛУГИ;426;Други тековни расходи;330000
2014-01-01T00:00:00;1002;АГЕНЦИЈА ЗА РАЗУЗНАВАЊЕ;630;20;РАЗУЗНАВАЊЕ;40;ПЛАТИ И НАДОМЕСТОЦИ;401;Основни плати;66581000
2014-01-01T00:00:00;1002;АГЕНЦИЈА ЗА РАЗУЗНАВАЊЕ;630;20;РАЗУЗНАВАЊЕ;40;ПЛАТИ И НАДОМЕСТОЦИ;402;Придонеси за социјално осигурување;24229000
2014-01-01T00:00:00;1002;АГЕНЦИЈА ЗА РАЗУЗНАВАЊЕ;630;20;РАЗУЗНАВАЊЕ;42;СТОКИ И УСЛУГИ;420;Патни и дневни расходи;110000
2014-01-01T00:00:00;1002;АГЕНЦИЈА ЗА РАЗУЗНАВАЊЕ;630;20;РАЗУЗНАВАЊЕ;42;СТОКИ И УСЛУГИ;421;Комунални услуги, греење, комуникација и транспорт;13970000
2014-01-01T00:00:00;1002;АГЕНЦИЈА ЗА РАЗУЗНАВАЊЕ;630;20;РАЗУЗНАВАЊЕ;42;СТОКИ И УСЛУГИ;423;Материјали и ситен инвентар;1130000
2014-01-01T00:00:00;1002;АГЕНЦИЈА ЗА РАЗУЗНАВАЊЕ;630;20;РАЗУЗНАВАЊЕ;42;СТОКИ И УСЛУГИ;424;Поправки и тековно одржување;3000000
2014-01-01T00:00:00;1002;АГЕНЦИЈА ЗА РАЗУЗНАВАЊЕ;630;20;РАЗУЗНАВАЊЕ;42;СТОКИ И УСЛУГИ;425;Договорни услуги;690000
2014-01-01T00:00:00;1002;АГЕНЦИЈА ЗА РАЗУЗНАВАЊЕ;630;20;РАЗУЗНАВАЊЕ;42;СТОКИ И УСЛУГИ;426;Други тековни расходи;4976000
2014-01-01T00:00:00;1002;АГЕНЦИЈА ЗА РАЗУЗНАВАЊЕ;630;20;РАЗУЗНАВАЊЕ;48;КАПИТАЛНИ РАСХОДИ;480;Купување на опрема и машини;5000000
2014-01-01T00:00:00;1002;АГЕНЦИЈА ЗА РАЗУЗНАВАЊЕ;630;20;РАЗУЗНАВАЊЕ;48;КАПИТАЛНИ РАСХОДИ;482;Други градежни објекти;2500000
2014-01-01T00:00:00;1002;АГЕНЦИЈА ЗА РАЗУЗНАВАЊЕ;631;20;РАЗУЗНАВАЊЕ;42;СТОКИ И УСЛУГИ;424;Поправки и тековно одржување;200000
2014-01-01T00:00:00;1002;АГЕНЦИЈА ЗА РАЗУЗНАВАЊЕ;631;20;РАЗУЗНАВАЊЕ;42;СТОКИ И УСЛУГИ;426;Други тековни расходи;300000
2014-01-01T00:00:00;2001;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;40;ПЛАТИ И НАДОМЕСТОЦИ;401;Основни плати;188584000
2014-01-01T00:00:00;2001;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;40;ПЛАТИ И НАДОМЕСТОЦИ;402;Придонеси за социјално осигурување;69750000
2014-01-01T00:00:00;2001;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;42;СТОКИ И УСЛУГИ;420;Патни и дневни расходи;80000000
2014-01-01T00:00:00;2001;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;42;СТОКИ И УСЛУГИ;421;Комунални услуги, греење, комуникација и транспорт;50000000
2014-01-01T00:00:00;2001;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;42;СТОКИ И УСЛУГИ;423;Материјали и ситен инвентар;10000000
2014-01-01T00:00:00;2001;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;42;СТОКИ И УСЛУГИ;424;Поправки и тековно одржување;8845000
2014-01-01T00:00:00;2001;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;42;СТОКИ И УСЛУГИ;425;Договорни услуги;7100000
2014-01-01T00:00:00;2001;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;42;СТОКИ И УСЛУГИ;426;Други тековни расходи;12000000
2014-01-01T00:00:00;2001;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;42;СТОКИ И УСЛУГИ;427;Привремени вработувања;9200000
2014-01-01T00:00:00;2001;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;46;СУБВЕНЦИИ И ТРАНСФЕРИ;464;Разни трансфери;450000
2014-01-01T00:00:00;2001;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;48;КАПИТАЛНИ РАСХОДИ;480;Купување на опрема и машини;10000000
2014-01-01T00:00:00;2001;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;630;20;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;48;КАПИТАЛНИ РАСХОДИ;485;Вложувања и нефинансиски средства;6000000
2014-01-01T00:00:00;2001;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;630;21;КОНТАКТИ СО ГРАЃАНИ;42;СТОКИ И УСЛУГИ;425;Договорни услуги;8700000
2014-01-01T00:00:00;2001;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;630;21;КОНТАКТИ СО ГРАЃАНИ;42;СТОКИ И УСЛУГИ;426;Други тековни расходи;3000000
2014-01-01T00:00:00;2001;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;630;22;ИЗГРАДБА НА СОБРАНИСКА ЗГРАДА;48;КАПИТАЛНИ РАСХОДИ;481;Градежни објекти;200000000
2014-01-01T00:00:00;2001;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;630;23;СОБРАНИСКИ КАНАЛ;42;СТОКИ И УСЛУГИ;424;Поправки и тековно одржување;2000000
2014-01-01T00:00:00;2001;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;631;26;ПАРЛАМЕНТАРЕН ИНСТИТУТ;40;ПЛАТИ И НАДОМЕСТОЦИ;401;Основни плати;8014000
2014-01-01T00:00:00;2001;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;631;26;ПАРЛАМЕНТАРЕН ИНСТИТУТ;40;ПЛАТИ И НАДОМЕСТОЦИ;402;Придонеси за социјално осигурување;2964000
2014-01-01T00:00:00;2001;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;631;26;ПАРЛАМЕНТАРЕН ИНСТИТУТ;42;СТОКИ И УСЛУГИ;427;Привремени вработувања;384000
2014-01-01T00:00:00;2001;СОБРАНИЕ НА РЕПУБЛИКА МАКЕДОНИЈА;785;26;ПАРЛАМЕНТАРЕН ИНСТИТУТ;46;СУБВЕНЦИИ И ТРАНСФЕРИ;464;Разни трансфери;11362000
2014-01-01T00:00:00;2002;ДРЖАВЕН ЗАВОД ЗА РЕВИЗИЈА;630;20;ДРЖАВНА РЕВИЗИЈА;40;ПЛАТИ И НАДОМЕСТОЦИ;401;Основни плати;51020000
2014-01-01T00:00:00;2002;ДРЖАВЕН ЗАВОД ЗА РЕВИЗИЈА;630;20;ДРЖАВНА РЕВИЗИЈА;40;ПЛАТИ И НАДОМЕСТОЦИ;402;Придонеси за социјално осигурување;18870000
2014-01-01T00:00:00;2002;ДРЖАВЕН ЗАВОД ЗА РЕВИЗИЈА;630;20;ДРЖАВНА РЕВИЗИЈА;42;СТОКИ И УСЛУГИ;420;Патни и дневни расходи;2800000
2014-01-01T00:00:00;2002;ДРЖАВЕН ЗАВОД ЗА РЕВИЗИЈА;630;20;ДРЖАВНА РЕВИЗИЈА;42;СТОКИ И УСЛУГИ;421;Комунални услуги, греење, комуникација и транспорт;5300000
2014-01-01T00:00:00;2002;ДРЖАВЕН ЗАВОД ЗА РЕВИЗИЈА;630;20;ДРЖАВНА РЕВИЗИЈА;42;СТОКИ И УСЛУГИ;423;Материјали и ситен инвентар;800000
2014-01-01T00:00:00;2002;ДРЖАВЕН ЗАВОД ЗА РЕВИЗИЈА;630;20;ДРЖАВНА РЕВИЗИЈА;42;СТОКИ И УСЛУГИ;424;Поправки и тековно одржување;2200000
2014-01-01T00:00:00;2002;ДРЖАВЕН ЗАВОД ЗА РЕВИЗИЈА;630;20;ДРЖАВНА РЕВИЗИЈА;42;СТОКИ И УСЛУГИ;425;Договорни услуги;6400000
2014-01-01T00:00:00;2002;ДРЖАВЕН ЗАВОД ЗА РЕВИЗИЈА;630;20;ДРЖАВНА РЕВИЗИЈА;42;СТОКИ И УСЛУГИ;426;Други тековни расходи;1000000
2014-01-01T00:00:00;2002;ДРЖАВЕН ЗАВОД ЗА РЕВИЗИЈА;630;20;ДРЖАВНА РЕВИЗИЈА;46;СУБВЕНЦИИ И ТРАНСФЕРИ;464;Разни трансфери;150000
2014-01-01T00:00:00;2002;ДРЖАВЕН ЗАВОД ЗА РЕВИЗИЈА;630;20;ДРЖАВНА РЕВИЗИЈА;48;КАПИТАЛНИ РАСХОДИ;480;Купување на опрема и машини;1000000
2014-01-01T00:00:00;2002;ДРЖАВЕН ЗАВОД ЗА РЕВИЗИЈА;630;20;ДРЖАВНА РЕВИЗИЈА;48;КАПИТАЛНИ РАСХОДИ;485;Вложувања и нефинансиски средства;300000
2014-01-01T00:00:00;2002;ДРЖАВЕН ЗАВОД ЗА РЕВИЗИЈА;630;20;ДРЖАВНА РЕВИЗИЈА;48;КАПИТАЛНИ РАСХОДИ;486;Купување на возила;2400000
2014-01-01T00:00:00;2002;ДРЖАВЕН ЗАВОД ЗА РЕВИЗИЈА;631;20;ДРЖАВНА РЕВИЗИЈА;42;СТОКИ И УСЛУГИ;420;Патни и дневни расходи;800000
2014-01-01T00:00:00;2002;ДРЖАВЕН ЗАВОД ЗА РЕВИЗИЈА;631;20;ДРЖАВНА РЕВИЗИЈА;42;СТОКИ И УСЛУГИ;424;Поправки и тековно одржување;240000
2014-01-01T00:00:00;2002;ДРЖАВЕН ЗАВОД ЗА РЕВИЗИЈА;631;20;ДРЖАВНА РЕВИЗИЈА;42;СТОКИ И УСЛУГИ;425;Договорни услуги;400000
2014-01-01T00:00:00;2002;ДРЖАВЕН ЗАВОД ЗА РЕВИЗИЈА;631;20;ДРЖАВНА РЕВИЗИЈА;42;СТОКИ И УСЛУГИ;426;Други тековни расходи;200000
2014-01-01T00:00:00;2002;ДРЖАВЕН ЗАВОД ЗА РЕВИЗИЈА;631;20;ДРЖАВНА РЕВИЗИЈА;48;КАПИТАЛНИ РАСХОДИ;486;Купување на возила;1000000
2014-01-01T00:00:00;2003;ДРЖАВНА КОМИСИЈА ЗА СПРЕЧУВАЊЕ НА КОРУПЦИЈА;630;20;СПРЕЧУВАЊЕ НА КОРУПЦИЈА И СУДИР НА ИНТЕРЕСИ;40;ПЛАТИ И НАДОМЕСТОЦИ;401;Основни плати;11802000
2014-01-01T00:00:00;2003;ДРЖАВНА КОМИСИЈА ЗА СПРЕЧУВАЊЕ НА КОРУПЦИЈА;630;20;СПРЕЧУВАЊЕ НА КОРУПЦИЈА И СУДИР НА ИНТЕРЕСИ;40;ПЛАТИ И НАДОМЕСТОЦИ;402;Придонеси за социјално осигурување;4364000
2014-01-01T00:00:00;2003;ДРЖАВНА КОМИСИЈА ЗА СПРЕЧУВАЊЕ НА КОРУПЦИЈА;630;20;СПРЕЧУВАЊЕ НА КОРУПЦИЈА И СУДИР НА ИНТЕРЕСИ;42;СТОКИ И УСЛУГИ;420;Патни и дневни расходи;2500000
2014-01-01T00:00:00;2003;ДРЖАВНА КОМИСИЈА ЗА СПРЕЧУВАЊЕ НА КОРУПЦИЈА;630;20;СПРЕЧУВАЊЕ НА КОРУПЦИЈА И СУДИР НА ИНТЕРЕСИ;42;СТОКИ И УСЛУГИ;421;Комунални услуги, греење, комуникација и транспорт;1600000
2014-01-01T00:00:00;2003;ДРЖАВНА КОМИСИЈА ЗА СПРЕЧУВАЊЕ НА КОРУПЦИЈА;630;20;СПРЕЧУВАЊЕ НА КОРУПЦИЈА И СУДИР НА ИНТЕРЕСИ;42;СТОКИ И УСЛУГИ;423;Материјали и ситен инвентар;200000
2014-01-01T00:00:00;2003;ДРЖАВНА КОМИСИЈА ЗА СПРЕЧУВАЊЕ НА КОРУПЦИЈА;630;20;СПРЕЧУВАЊЕ НА КОРУПЦИЈА И СУДИР НА ИНТЕРЕСИ;42;СТОКИ И УСЛУГИ;424;Поправки и тековно одржување;100000
2014-01-01T00:00:00;2003;ДРЖАВНА КОМИСИЈА ЗА СПРЕЧУВАЊЕ НА КОРУПЦИЈА;630;20;СПРЕЧУВАЊЕ НА КОРУПЦИЈА И СУДИР НА ИНТЕРЕСИ;42;СТОКИ И УСЛУГИ;425;Договорни услуги;1000000
2014-01-01T00:00:00;2003;ДРЖАВНА КОМИСИЈА ЗА СПРЕЧУВАЊЕ НА КОРУПЦИЈА;630;20;СПРЕЧУВАЊЕ НА КОРУПЦИЈА И СУДИР НА ИНТЕРЕСИ;42;СТОКИ И УСЛУГИ;426;Други тековни расходи;100000
2014-01-01T00:00:00;2004;ДРЖАВНА ИЗБОРНА КОМИСИЈА;630;20;ДРЖАВНА ИЗБОРНА КОМИСИЈА;40;ПЛАТИ И НАДОМЕСТОЦИ;401;Основни плати;36745000
2014-01-01T00:00:00;2004;ДРЖАВНА ИЗБОРНА КОМИСИЈА;630;20;ДРЖАВНА ИЗБОРНА КОМИСИЈА;40;ПЛАТИ И НАДОМЕСТОЦИ;402;Придонеси за социјално осигурување;13591000
2014-01-01T00:00:00;2004;ДРЖАВНА ИЗБОРНА КОМИСИЈА;630;20;ДРЖАВНА ИЗБОРНА КОМИСИЈА;42;СТОКИ И УСЛУГИ;420;Патни и дневни расходи;216000
2014-01-01T00:00:00;2004;ДРЖАВНА ИЗБОРНА КОМИСИЈА;630;20;ДРЖАВНА ИЗБОРНА КОМИСИЈА;42;СТОКИ И УСЛУГИ;421;Комунални услуги, греење, комуникација и транспорт;4278000
2014-01-01T00:00:00;2004;ДРЖАВНА ИЗБОРНА КОМИСИЈА;630;20;ДРЖАВНА ИЗБОРНА КОМИСИЈА;42;СТОКИ И УСЛУГИ;423;Материјали и ситен инвентар;197000
2014-01-01T00:00:00;2004;ДРЖАВНА ИЗБОРНА КОМИСИЈА;630;20;ДРЖАВНА ИЗБОРНА КОМИСИЈА;42;СТОКИ И УСЛУГИ;424;Поправки и тековно одржување;500000
2014-01-01T00:00:00;2004;ДРЖАВНА ИЗБОРНА КОМИСИЈА;630;20;ДРЖАВНА ИЗБОРНА КОМИСИЈА;42;СТОКИ И УСЛУГИ;425;Договорни услуги;385000
2014-01-01T00:00:00;2004;ДРЖАВНА ИЗБОРНА КОМИСИЈА;630;20;ДРЖАВНА ИЗБОРНА КОМИСИЈА;42;СТОКИ И УСЛУГИ;426;Други тековни расходи;464000
2014-01-01T00:00:00;2004;ДРЖАВНА ИЗБОРНА КОМИСИЈА;630;20;ДРЖАВНА ИЗБОРНА КОМИСИЈА;42;СТОКИ И УСЛУГИ;427;Привремени вработувања;500000
2014-01-01T00:00:00;2004;ДРЖАВНА ИЗБОРНА КОМИСИЈА;630;20;ДРЖАВНА ИЗБОРНА КОМИСИЈА;48;КАПИТАЛНИ РАСХОДИ;480;Купување на опрема и машини;300000
2014-01-01T00:00:00;2004;ДРЖАВНА ИЗБОРНА КОМИСИЈА;630;20;ДРЖАВНА ИЗБОРНА КОМИСИЈА;48;КАПИТАЛНИ РАСХОДИ;485;Вложувања и нефинансиски средства;160000
2014-01-01T00:00:00;2004;ДРЖАВНА ИЗБОРНА КОМИСИЈА;630;21;ИЗБОРНИ АКТИВНОСТИ;42;СТОКИ И УСЛУГИ;420;Патни и дневни расходи;6784000
2014-01-01T00:00:00;2004;ДРЖАВНА ИЗБОРНА КОМИСИЈА;630;21;ИЗБОРНИ АКТИВНОСТИ;42;СТОКИ И УСЛУГИ;421;Комунални услуги, греење, комуникација и транспорт;9750000
2014-01-01T00:00:00;2004;ДРЖАВНА ИЗБОРНА КОМИСИЈА;630;21;ИЗБОРНИ АКТИВНОСТИ;42;СТОКИ И УСЛУГИ;423;Материјали и ситен инвентар;6780000
2014-01-01T00:00:00;2004;ДРЖАВНА ИЗБОРНА КОМИСИЈА;630;21;ИЗБОРНИ АКТИВНОСТИ;42;СТОКИ И УСЛУГИ;424;Поправки и тековно одржување;2500000
2014-01-01T00:00:00;2004;ДРЖАВНА ИЗБОРНА КОМИСИЈА;630;21;ИЗБОРНИ АКТИВНОСТИ;42;СТОКИ И УСЛУГИ;425;Договорни услуги;74576000
2014-01-01T00:00:00;2004;ДРЖАВНА ИЗБОРНА КОМИСИЈА;630;21;ИЗБОРНИ АКТИВНОСТИ;42;СТОКИ И УСЛУГИ;426;Други тековни расходи;4500000
2014-01-01T00:00:00;2004;ДРЖАВНА ИЗБОРНА КОМИСИЈА;630;21;ИЗБОРНИ АКТИВНОСТИ;46;СУБВЕНЦИИ И ТРАНСФЕРИ;464;Разни трансфери;130000000
2014-01-01T00:00:00;2004;ДРЖАВНА ИЗБОРНА КОМИСИЈА;630;21;ИЗБОРНИ АКТИВНОСТИ;48;КАПИТАЛНИ РАСХОДИ;480;Купување на опрема и машини;5700000
2014-01-01T00:00:00;2004;ДРЖАВНА ИЗБОРНА КОМИСИЈА;630;21;ИЗБОРНИ АКТИВНОСТИ;48;КАПИТАЛНИ РАСХОДИ;485;Вложувања и нефинансиски средства;4840000
2014-01-01T00:00:00;2005;КОМИСИЈА ЗА ЗАШТИТА НА КОНКУРЕНЦИЈА;630;20;ЗАШТИТА НА КОНКУРЕНЦИЈАТА;40;ПЛАТИ И НАДОМЕСТОЦИ;401;Основни плати;11226000
2014-01-01T00:00:00;2005;КОМИСИЈА ЗА ЗАШТИТА НА КОНКУРЕНЦИЈА;630;20;ЗАШТИТА НА КОНКУРЕНЦИЈАТА;40;ПЛАТИ И НАДОМЕСТОЦИ;402;Придонеси за социјално осигурување;4153000
2014-01-01T00:00:00;2005;КОМИСИЈА ЗА ЗАШТИТА НА КОНКУРЕНЦИЈА;630;20;ЗАШТИТА НА КОНКУРЕНЦИЈАТА;42;СТОКИ И УСЛУГИ;420;Патни и дневни расходи;500000
2014-01-01T00:00:00;2005;КОМИСИЈА ЗА ЗАШТИТА НА КОНКУРЕНЦИЈА;630;20;ЗАШТИТА НА КОНКУРЕНЦИЈАТА;42;СТОКИ И УСЛУГИ;421;Комунални услуги, греење, комуникација и транспорт;2000000
2014-01-01T00:00:00;2005;КОМИСИЈА ЗА ЗАШТИТА НА КОНКУРЕНЦИЈА;630;20;ЗАШТИТА НА КОНКУРЕНЦИЈАТА;42;СТОКИ И УСЛУГИ;423;Материјали и ситен инвентар;100000
2014-01-01T00:00:00;2005;КОМИСИЈА ЗА ЗАШТИТА НА КОНКУРЕНЦИЈА;630;20;ЗАШТИТА НА КОНКУРЕНЦИЈАТА;42;СТОКИ И УСЛУГИ;424;Поправки и тековно одржување;60000
2014-01-01T00:00:00;2005;КОМИСИЈА ЗА ЗАШТИТА НА КОНКУРЕНЦИЈА;630;20;ЗАШТИТА НА КОНКУРЕНЦИЈАТА;42;СТОКИ И УСЛУГИ;425;Договорни услуги;750000
2014-01-01T00:00:00;2005;КОМИСИЈА ЗА ЗАШТИТА НА КОНКУРЕНЦИЈА;630;20;ЗАШТИТА НА КОНКУРЕНЦИЈАТА;42;СТОКИ И УСЛУГИ;426;Други тековни расходи;300000
2014-01-01T00:00:00;2006;ДИРЕКЦИЈА ЗА ЗАШТИТА НА ЛИЧНИ ПОДАТОЦИ;630;20;ЗАШТИТА НА ЛИЧНИ ПОДАТОЦИ;40;ПЛАТИ И НАДОМЕСТОЦИ;401;Основни плати;9213000
2014-01-01T00:00:00;2006;ДИРЕКЦИЈА ЗА ЗАШТИТА НА ЛИЧНИ ПОДАТОЦИ;630;20;ЗАШТИТА НА ЛИЧНИ ПОДАТОЦИ;40;ПЛАТИ И НАДОМЕСТОЦИ;402;Придонеси за социјално осигурување;3408000
2014-01-01T00:00:00;2006;ДИРЕКЦИЈА ЗА ЗАШТИТА НА ЛИЧНИ ПОДАТОЦИ;630;20;ЗАШТИТА НА ЛИЧНИ ПОДАТОЦИ;42;СТОКИ И УСЛУГИ;420;Патни и дневни расходи;140000
2014-01-01T00:00:00;2006;ДИРЕКЦИЈА ЗА ЗАШТИТА НА ЛИЧНИ ПОДАТОЦИ;630;20;ЗАШТИТА НА ЛИЧНИ ПОДАТОЦИ;42;СТОКИ И УСЛУГИ;421;Комунални услуги, греење, комуникација и транспорт;1700000
2014-01-01T00:00:00;2006;ДИРЕКЦИЈА ЗА ЗАШТИТА НА ЛИЧНИ ПОДАТОЦИ;630;20;ЗАШТИТА НА ЛИЧНИ ПОДАТОЦИ;42;СТОКИ И УСЛУГИ;423;Материјали и ситен инвентар;150000
